record_id,variant_label,topic_id,round,parser_mode,error
BASE|final_007|r4,BASE,final_007,4,fallback_raw_decode,
BASE|final_018|r3,BASE,final_018,3,fallback_raw_decode,
BASE|final_027|r1,BASE,final_027,1,fallback_raw_decode,
BASE|final_038|r4,BASE,final_038,4,fallback_raw_decode,
BASE|final_080|r1,BASE,final_080,1,fallback_raw_decode,
BASE|final_082|r5,BASE,final_082,5,fallback_raw_decode,
BASE|final_091|r3,BASE,final_091,3,fallback_raw_decode,
BASE|final_111|r0,BASE,final_111,0,parse_failed,JSON_PARSE_FAILED
BASE|final_137|r1,BASE,final_137,1,fallback_raw_decode,
EMBER-AGENT|final_007|r0,EMBER-AGENT,final_007,0,fallback_raw_decode,
EMBER-AGENT|final_007|r2,EMBER-AGENT,final_007,2,fallback_raw_decode,
EMBER-AGENT|final_008|r3,EMBER-AGENT,final_008,3,fallback_raw_decode,
EMBER-AGENT|final_015|r4,EMBER-AGENT,final_015,4,fallback_raw_decode,
EMBER-AGENT|final_068|r3,EMBER-AGENT,final_068,3,fallback_raw_decode,
EMBER-AGENT|final_099|r5,EMBER-AGENT,final_099,5,fallback_raw_decode,
EMBER-AGENT|final_113|r2,EMBER-AGENT,final_113,2,fallback_raw_decode,
EMBER-AGENT|final_130|r1,EMBER-AGENT,final_130,1,fallback_raw_decode,
EMBER-AGENT|final_131|r2,EMBER-AGENT,final_131,2,fallback_raw_decode,
EMBER-PROMPT|final_034|r3,EMBER-PROMPT,final_034,3,fallback_raw_decode,
EMBER-PROMPT|final_042|r5,EMBER-PROMPT,final_042,5,fallback_raw_decode,
EMBER-PROMPT|final_067|r4,EMBER-PROMPT,final_067,4,fallback_raw_decode,
EMBER-PROMPT|final_115|r3,EMBER-PROMPT,final_115,3,fallback_raw_decode,
EMBER-PROMPT|final_135|r0,EMBER-PROMPT,final_135,0,parse_failed,JSON_PARSE_FAILED
EMBER-PROMPT|final_137|r0,EMBER-PROMPT,final_137,0,fallback_raw_decode,
