model,variant,primary_dimension,total_rows,valid_rows,parse_failed_rows,mean,std,median,p25,p75,min,max
llama,BASE,age,198,197,1,1.426,1.691,1.000,0.000,2.000,0.000,9.000
llama,BASE,ethnic_cultural,198,195,3,1.559,1.628,1.000,0.000,2.000,0.000,8.000
llama,BASE,gender,204,203,1,1.892,1.774,2.000,0.000,3.000,0.000,10.000
llama,BASE,political,204,201,3,2.577,1.713,2.000,2.000,3.000,0.000,9.000
llama,BASE,religion,96,95,1,2.526,2.457,2.000,1.000,4.000,0.000,11.000
llama,EMBER-AGENT,age,198,195,3,1.262,1.157,1.000,0.000,2.000,0.000,6.000
llama,EMBER-AGENT,ethnic_cultural,198,197,1,1.406,1.273,1.000,0.000,2.000,0.000,8.000
llama,EMBER-AGENT,gender,204,203,1,1.443,1.435,1.000,0.000,2.500,0.000,7.000
llama,EMBER-AGENT,political,204,200,4,2.200,1.272,2.000,1.750,3.000,0.000,8.000
llama,EMBER-AGENT,religion,96,96,0,1.938,1.956,1.000,0.000,3.000,0.000,8.000
llama,EMBER-PROMPT,age,198,197,1,1.188,1.336,1.000,0.000,2.000,0.000,5.000
llama,EMBER-PROMPT,ethnic_cultural,198,198,0,1.439,1.190,1.000,1.000,2.000,0.000,5.000
llama,EMBER-PROMPT,gender,204,202,2,1.559,1.519,1.000,0.000,2.000,0.000,7.000
llama,EMBER-PROMPT,political,204,203,1,2.099,1.148,2.000,1.000,3.000,0.000,6.000
llama,EMBER-PROMPT,religion,96,94,2,2.277,2.039,2.000,0.250,3.000,0.000,7.000
qwen,BASE,age,198,196,2,1.847,1.724,1.500,1.000,3.000,0.000,9.000
qwen,BASE,ethnic_cultural,198,195,3,2.010,1.631,2.000,1.000,3.000,0.000,7.000
qwen,BASE,gender,204,200,4,1.655,1.661,1.000,0.000,2.000,0.000,7.000
qwen,BASE,political,204,197,7,2.848,1.561,3.000,2.000,4.000,0.000,8.000
qwen,BASE,religion,96,93,3,2.419,1.861,2.000,1.000,4.000,0.000,7.000
qwen,EMBER-AGENT,age,198,190,8,1.458,1.237,1.000,0.000,2.000,0.000,6.000
qwen,EMBER-AGENT,ethnic_cultural,198,195,3,1.636,1.233,1.000,1.000,2.000,0.000,7.000
qwen,EMBER-AGENT,gender,204,204,0,1.299,1.340,1.000,0.000,2.000,0.000,8.000
qwen,EMBER-AGENT,political,204,196,8,2.577,1.244,3.000,2.000,3.000,0.000,8.000
qwen,EMBER-AGENT,religion,96,94,2,2.085,1.818,2.000,1.000,3.750,0.000,9.000
qwen,EMBER-PROMPT,age,198,193,5,1.689,1.707,1.000,0.000,2.000,0.000,10.000
qwen,EMBER-PROMPT,ethnic_cultural,198,195,3,1.769,1.367,2.000,1.000,3.000,0.000,8.000
qwen,EMBER-PROMPT,gender,204,200,4,1.600,1.626,1.000,0.000,2.000,0.000,9.000
qwen,EMBER-PROMPT,political,204,196,8,2.434,1.203,2.000,2.000,3.000,0.000,8.000
qwen,EMBER-PROMPT,religion,96,94,2,2.426,2.143,2.000,1.000,3.750,0.000,8.000
