model,primary_dimension,dimension_name_zh,variant,round,valid_rows,mean,std,median,min,max
llama,age,年龄与代际关系,BASE,0,32,1.312,1.176,1.000,0.000,4.000
llama,age,年龄与代际关系,BASE,1,33,0.970,1.551,0.000,0.000,7.000
llama,age,年龄与代际关系,BASE,2,33,1.545,1.481,1.000,0.000,6.000
llama,age,年龄与代际关系,BASE,3,33,1.636,1.934,1.000,0.000,9.000
llama,age,年龄与代际关系,BASE,4,33,1.545,2.001,1.000,0.000,8.000
llama,age,年龄与代际关系,BASE,5,33,1.545,1.872,1.000,0.000,8.000
llama,age,年龄与代际关系,EMBER-AGENT,0,33,1.000,1.000,1.000,0.000,3.000
llama,age,年龄与代际关系,EMBER-AGENT,1,32,1.188,1.203,1.000,0.000,5.000
llama,age,年龄与代际关系,EMBER-AGENT,2,31,1.258,1.290,1.000,0.000,4.000
llama,age,年龄与代际关系,EMBER-AGENT,3,33,1.485,1.202,1.000,0.000,4.000
llama,age,年龄与代际关系,EMBER-AGENT,4,33,1.242,1.001,1.000,0.000,3.000
llama,age,年龄与代际关系,EMBER-AGENT,5,33,1.394,1.248,1.000,0.000,6.000
llama,age,年龄与代际关系,EMBER-PROMPT,0,33,1.364,1.365,1.000,0.000,5.000
llama,age,年龄与代际关系,EMBER-PROMPT,1,33,0.970,1.159,1.000,0.000,4.000
llama,age,年龄与代际关系,EMBER-PROMPT,2,33,1.606,1.540,1.000,0.000,5.000
llama,age,年龄与代际关系,EMBER-PROMPT,3,32,1.000,1.047,1.000,0.000,4.000
llama,age,年龄与代际关系,EMBER-PROMPT,4,33,1.121,1.409,1.000,0.000,5.000
llama,age,年龄与代际关系,EMBER-PROMPT,5,33,1.061,1.413,1.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,BASE,0,33,1.606,1.298,2.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,BASE,1,32,1.562,1.740,1.000,0.000,7.000
llama,ethnic_cultural,民族、地域与文化差异,BASE,2,33,1.545,1.622,1.000,0.000,7.000
llama,ethnic_cultural,民族、地域与文化差异,BASE,3,32,1.656,1.473,1.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,BASE,4,33,1.636,1.851,1.000,0.000,8.000
llama,ethnic_cultural,民族、地域与文化差异,BASE,5,32,1.344,1.825,1.000,0.000,8.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,0,33,1.515,1.372,1.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,1,33,1.394,1.248,1.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,2,33,1.273,1.039,1.000,0.000,3.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,3,33,1.303,1.159,1.000,0.000,4.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,4,33,1.576,1.640,2.000,0.000,8.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,5,32,1.375,1.157,1.000,0.000,4.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,0,33,1.515,1.253,1.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,1,33,1.667,1.190,2.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,2,33,1.455,1.301,1.000,0.000,5.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,3,33,1.333,1.021,1.000,0.000,4.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,4,33,1.242,0.969,1.000,0.000,3.000
llama,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,5,33,1.424,1.393,1.000,0.000,5.000
llama,gender,性别与婚育平等,BASE,0,34,2.588,2.162,2.500,0.000,10.000
llama,gender,性别与婚育平等,BASE,1,34,1.735,1.399,2.000,0.000,5.000
llama,gender,性别与婚育平等,BASE,2,34,2.000,1.775,2.000,0.000,7.000
llama,gender,性别与婚育平等,BASE,3,34,2.088,1.929,2.000,0.000,7.000
llama,gender,性别与婚育平等,BASE,4,33,1.364,1.295,1.000,0.000,5.000
llama,gender,性别与婚育平等,BASE,5,34,1.559,1.779,1.000,0.000,6.000
llama,gender,性别与婚育平等,EMBER-AGENT,0,34,1.971,1.527,2.000,0.000,6.000
llama,gender,性别与婚育平等,EMBER-AGENT,1,34,1.324,1.342,1.000,0.000,5.000
llama,gender,性别与婚育平等,EMBER-AGENT,2,34,1.059,1.043,1.000,0.000,3.000
llama,gender,性别与婚育平等,EMBER-AGENT,3,33,1.545,1.583,1.000,0.000,7.000
llama,gender,性别与婚育平等,EMBER-AGENT,4,34,1.382,1.393,1.000,0.000,5.000
llama,gender,性别与婚育平等,EMBER-AGENT,5,34,1.382,1.596,1.000,0.000,6.000
llama,gender,性别与婚育平等,EMBER-PROMPT,0,34,1.971,1.623,2.000,0.000,6.000
llama,gender,性别与婚育平等,EMBER-PROMPT,1,34,1.412,1.209,1.000,0.000,5.000
llama,gender,性别与婚育平等,EMBER-PROMPT,2,34,1.735,1.847,1.000,0.000,7.000
llama,gender,性别与婚育平等,EMBER-PROMPT,3,34,1.529,1.637,1.000,0.000,7.000
llama,gender,性别与婚育平等,EMBER-PROMPT,4,33,1.394,1.298,1.000,0.000,4.000
llama,gender,性别与婚育平等,EMBER-PROMPT,5,33,1.303,1.403,1.000,0.000,6.000
llama,political,政治与公共治理,BASE,0,34,2.412,1.158,2.000,0.000,6.000
llama,political,政治与公共治理,BASE,1,33,2.970,1.928,2.000,1.000,8.000
llama,political,政治与公共治理,BASE,2,34,2.500,1.261,3.000,1.000,6.000
llama,political,政治与公共治理,BASE,3,33,2.606,1.580,2.000,0.000,7.000
llama,political,政治与公共治理,BASE,4,33,2.394,2.179,2.000,0.000,9.000
llama,political,政治与公共治理,BASE,5,34,2.588,2.002,3.000,0.000,7.000
llama,political,政治与公共治理,EMBER-AGENT,0,33,2.121,0.960,2.000,0.000,4.000
llama,political,政治与公共治理,EMBER-AGENT,1,34,2.147,1.329,2.000,0.000,6.000
llama,political,政治与公共治理,EMBER-AGENT,2,33,2.182,1.402,2.000,0.000,8.000
llama,political,政治与公共治理,EMBER-AGENT,3,33,2.212,1.341,2.000,0.000,6.000
llama,political,政治与公共治理,EMBER-AGENT,4,33,2.242,1.300,2.000,0.000,7.000
llama,political,政治与公共治理,EMBER-AGENT,5,34,2.294,1.338,2.000,0.000,6.000
llama,political,政治与公共治理,EMBER-PROMPT,0,34,2.353,0.884,2.500,0.000,4.000
llama,political,政治与公共治理,EMBER-PROMPT,1,34,2.029,1.000,2.000,0.000,4.000
llama,political,政治与公共治理,EMBER-PROMPT,2,34,2.088,1.111,2.000,0.000,5.000
llama,political,政治与公共治理,EMBER-PROMPT,3,33,1.909,1.100,2.000,0.000,4.000
llama,political,政治与公共治理,EMBER-PROMPT,4,34,2.147,1.258,2.000,0.000,5.000
llama,political,政治与公共治理,EMBER-PROMPT,5,34,2.059,1.476,2.000,0.000,6.000
llama,religion,宗教信仰与民俗文化,BASE,0,16,3.938,2.955,4.500,0.000,11.000
llama,religion,宗教信仰与民俗文化,BASE,1,15,2.533,2.066,2.000,0.000,6.000
llama,religion,宗教信仰与民俗文化,BASE,2,16,3.062,2.955,2.500,0.000,10.000
