record_id,variant_label,topic_id,round,parser_mode,error
BASE|final_013|r4,BASE,final_013,4,fallback_raw_decode,
BASE|final_025|r5,BASE,final_025,5,fallback_raw_decode,
BASE|final_027|r1,BASE,final_027,1,fallback_raw_decode,
BASE|final_027|r4,BASE,final_027,4,fallback_raw_decode,
BASE|final_031|r3,BASE,final_031,3,fallback_raw_decode,
BASE|final_032|r0,BASE,final_032,0,parse_failed,JSON_PARSE_FAILED
BASE|final_034|r4,BASE,final_034,4,fallback_raw_decode,
BASE|final_035|r4,BASE,final_035,4,parse_failed,JSON_PARSE_FAILED
BASE|final_058|r4,BASE,final_058,4,fallback_raw_decode,
BASE|final_058|r5,BASE,final_058,5,fallback_raw_decode,
BASE|final_060|r1,BASE,final_060,1,parse_failed,JSON_PARSE_FAILED
BASE|final_075|r2,BASE,final_075,2,fallback_raw_decode,
BASE|final_077|r5,BASE,final_077,5,fallback_raw_decode,
BASE|final_085|r3,BASE,final_085,3,parse_failed,JSON_PARSE_FAILED
BASE|final_103|r2,BASE,final_103,2,fallback_raw_decode,
BASE|final_112|r3,BASE,final_112,3,fallback_raw_decode,
BASE|final_137|r0,BASE,final_137,0,parse_failed,JSON_PARSE_FAILED
BASE|final_138|r1,BASE,final_138,1,fallback_raw_decode,
BASE|final_142|r5,BASE,final_142,5,fallback_raw_decode,
EMBER-AGENT|final_006|r1,EMBER-AGENT,final_006,1,fallback_raw_decode,
EMBER-AGENT|final_011|r1,EMBER-AGENT,final_011,1,fallback_raw_decode,
EMBER-AGENT|final_012|r0,EMBER-AGENT,final_012,0,fallback_raw_decode,
EMBER-AGENT|final_024|r4,EMBER-AGENT,final_024,4,fallback_raw_decode,
EMBER-AGENT|final_024|r5,EMBER-AGENT,final_024,5,fallback_raw_decode,
EMBER-AGENT|final_027|r0,EMBER-AGENT,final_027,0,fallback_raw_decode,
EMBER-AGENT|final_028|r2,EMBER-AGENT,final_028,2,fallback_raw_decode,
EMBER-AGENT|final_032|r5,EMBER-AGENT,final_032,5,fallback_raw_decode,
EMBER-AGENT|final_085|r4,EMBER-AGENT,final_085,4,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT|final_089|r3,EMBER-AGENT,final_089,3,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT|final_091|r2,EMBER-AGENT,final_091,2,fallback_raw_decode,
EMBER-AGENT|final_102|r0,EMBER-AGENT,final_102,0,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT|final_112|r3,EMBER-AGENT,final_112,3,fallback_raw_decode,
EMBER-AGENT|final_119|r5,EMBER-AGENT,final_119,5,fallback_raw_decode,
EMBER-AGENT|final_122|r0,EMBER-AGENT,final_122,0,fallback_raw_decode,
EMBER-AGENT|final_128|r0,EMBER-AGENT,final_128,0,fallback_raw_decode,
EMBER-AGENT|final_129|r2,EMBER-AGENT,final_129,2,fallback_raw_decode,
EMBER-AGENT|final_133|r2,EMBER-AGENT,final_133,2,fallback_raw_decode,
EMBER-AGENT|final_133|r4,EMBER-AGENT,final_133,4,fallback_raw_decode,
EMBER-AGENT|final_137|r4,EMBER-AGENT,final_137,4,fallback_raw_decode,
EMBER-AGENT|final_141|r3,EMBER-AGENT,final_141,3,parse_failed,JSON_PARSE_FAILED
EMBER-PROMPT|final_008|r1,EMBER-PROMPT,final_008,1,fallback_raw_decode,
EMBER-PROMPT|final_008|r5,EMBER-PROMPT,final_008,5,fallback_raw_decode,
EMBER-PROMPT|final_011|r2,EMBER-PROMPT,final_011,2,fallback_raw_decode,
EMBER-PROMPT|final_012|r5,EMBER-PROMPT,final_012,5,fallback_raw_decode,
EMBER-PROMPT|final_020|r4,EMBER-PROMPT,final_020,4,fallback_raw_decode,
EMBER-PROMPT|final_028|r5,EMBER-PROMPT,final_028,5,fallback_raw_decode,
EMBER-PROMPT|final_032|r0,EMBER-PROMPT,final_032,0,fallback_raw_decode,
EMBER-PROMPT|final_034|r2,EMBER-PROMPT,final_034,2,fallback_raw_decode,
EMBER-PROMPT|final_044|r2,EMBER-PROMPT,final_044,2,fallback_raw_decode,
EMBER-PROMPT|final_049|r4,EMBER-PROMPT,final_049,4,fallback_raw_decode,
EMBER-PROMPT|final_055|r0,EMBER-PROMPT,final_055,0,fallback_raw_decode,
EMBER-PROMPT|final_058|r2,EMBER-PROMPT,final_058,2,fallback_raw_decode,
EMBER-PROMPT|final_081|r4,EMBER-PROMPT,final_081,4,fallback_raw_decode,
EMBER-PROMPT|final_093|r3,EMBER-PROMPT,final_093,3,fallback_raw_decode,
EMBER-PROMPT|final_099|r5,EMBER-PROMPT,final_099,5,fallback_raw_decode,
EMBER-PROMPT|final_105|r2,EMBER-PROMPT,final_105,2,fallback_raw_decode,
EMBER-PROMPT|final_107|r1,EMBER-PROMPT,final_107,1,fallback_raw_decode,
EMBER-PROMPT|final_118|r1,EMBER-PROMPT,final_118,1,fallback_raw_decode,
EMBER-PROMPT|final_125|r0,EMBER-PROMPT,final_125,0,fallback_raw_decode,
EMBER-PROMPT|final_126|r5,EMBER-PROMPT,final_126,5,fallback_raw_decode,
EMBER-PROMPT|final_137|r1,EMBER-PROMPT,final_137,1,fallback_raw_decode,
EMBER-PROMPT|final_140|r4,EMBER-PROMPT,final_140,4,fallback_raw_decode,
