model,variant,round,total_rows,valid_rows,parse_failed_rows,mean,std,median,p25,p75,min,max
llama,BASE,0,150,149,1,2.201,1.871,2.000,1.000,3.000,0.000,11.000
llama,BASE,1,150,147,3,1.884,1.834,2.000,0.000,3.000,0.000,8.000
llama,BASE,2,150,150,0,2.027,1.798,2.000,1.000,3.000,0.000,10.000
llama,BASE,3,150,148,2,2.074,1.830,2.000,1.000,3.000,0.000,9.000
llama,BASE,4,150,148,2,1.709,1.838,1.000,0.000,2.000,0.000,9.000
llama,BASE,5,150,149,1,1.732,1.930,1.000,0.000,3.000,0.000,8.000
llama,EMBER-AGENT,0,150,149,1,1.893,1.573,2.000,1.000,3.000,0.000,7.000
llama,EMBER-AGENT,1,150,149,1,1.584,1.443,1.000,0.000,3.000,0.000,6.000
llama,EMBER-AGENT,2,150,147,3,1.490,1.367,1.000,0.000,2.000,0.000,8.000
llama,EMBER-AGENT,3,150,148,2,1.541,1.347,1.500,0.000,2.000,0.000,7.000
llama,EMBER-AGENT,4,150,149,1,1.591,1.380,1.000,0.000,2.000,0.000,8.000
llama,EMBER-AGENT,5,150,149,1,1.611,1.389,1.000,1.000,2.000,0.000,6.000
llama,EMBER-PROMPT,0,150,148,2,1.939,1.486,2.000,1.000,3.000,0.000,6.000
llama,EMBER-PROMPT,1,150,150,0,1.607,1.326,2.000,1.000,2.000,0.000,7.000
llama,EMBER-PROMPT,2,150,150,0,1.747,1.533,1.000,1.000,2.750,0.000,7.000
llama,EMBER-PROMPT,3,150,148,2,1.534,1.372,1.000,0.750,2.000,0.000,7.000
llama,EMBER-PROMPT,4,150,149,1,1.530,1.373,1.000,0.000,2.000,0.000,6.000
llama,EMBER-PROMPT,5,150,149,1,1.537,1.566,1.000,0.000,2.000,0.000,7.000
qwen,BASE,0,150,148,2,1.385,1.373,1.000,0.000,2.000,0.000,6.000
qwen,BASE,1,150,147,3,1.789,1.518,1.000,1.000,3.000,0.000,8.000
qwen,BASE,2,150,148,2,2.311,1.733,2.000,1.000,3.000,0.000,8.000
qwen,BASE,3,150,147,3,2.503,1.830,2.000,1.000,4.000,0.000,7.000
qwen,BASE,4,150,145,5,2.331,1.720,2.000,1.000,3.000,0.000,7.000
qwen,BASE,5,150,146,4,2.432,1.857,2.000,1.000,4.000,0.000,9.000
qwen,EMBER-AGENT,0,150,145,5,1.524,1.275,1.000,0.000,2.000,0.000,5.000
qwen,EMBER-AGENT,1,150,148,2,1.581,1.240,1.000,1.000,2.000,0.000,6.000
qwen,EMBER-AGENT,2,150,146,4,1.918,1.422,2.000,1.000,3.000,0.000,8.000
qwen,EMBER-AGENT,3,150,147,3,1.844,1.398,2.000,1.000,3.000,0.000,6.000
qwen,EMBER-AGENT,4,150,146,4,2.075,1.645,2.000,1.000,3.000,0.000,8.000
qwen,EMBER-AGENT,5,150,147,3,1.721,1.432,2.000,1.000,3.000,0.000,9.000
qwen,EMBER-PROMPT,0,150,147,3,1.510,1.454,1.000,0.000,2.000,0.000,8.000
qwen,EMBER-PROMPT,1,150,146,4,1.630,1.308,1.000,1.000,3.000,0.000,6.000
qwen,EMBER-PROMPT,2,150,145,5,2.152,1.672,2.000,1.000,3.000,0.000,8.000
qwen,EMBER-PROMPT,3,150,149,1,2.174,1.877,2.000,1.000,3.000,0.000,10.000
qwen,EMBER-PROMPT,4,150,146,4,2.164,1.589,2.000,1.000,3.000,0.000,9.000
qwen,EMBER-PROMPT,5,150,145,5,1.959,1.576,2.000,1.000,3.000,0.000,8.000
