scenario_key,scenario,model_raw,model,method,variant_label,turn,valid_rows,composite_mean,composite_variance,composite_std
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE,0,296,1.5240067567567568,1.7828161283327246,1.3352213780241555
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE,1,298,1.9630067114093956,2.426054691230125,1.5575797543721879
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE,2,296,2.594222972972973,3.3705610516344042,1.8359087808587888
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE,3,297,2.8349292929292926,3.2149151566166716,1.7930184484875418
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE,4,296,2.881858108108108,4.023240973109935,2.0058018279755196
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE,5,297,2.7841515151515153,3.543202754820937,1.8823397022909911
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT,0,297,1.7037979797979799,2.0260762218141006,1.4234030426460738
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT,1,295,1.9121186440677969,2.419470002872738,1.5554645617540561
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT,2,295,2.2237627118644068,2.8453111979316286,1.6868050266499768
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT,3,299,2.3916254180602006,3.543364762698404,1.882382735444204
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT,4,295,2.4781694915254238,2.962942852628555,1.7213200901135601
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT,5,297,2.4409595959595958,3.513274079175595,1.8743729829400537
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT,0,294,1.564673469387755,1.6745416076634736,1.29404080602718
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT,1,298,1.6742953020134228,2.0190630940047747,1.4209373997487627
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT,2,300,1.9465000000000001,2.4165222500000003,1.5545167255452739
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT,3,295,2.0675762711864403,2.6406548204538924,1.62500917549837
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT,4,297,2.2359696969696974,3.170114049586777,1.7804814095032773
dual,双智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT,5,299,2.0467525083612044,2.834044667844879,1.683462107635595
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE+MULTIAGENT,0,289,1.737217993079585,2.318221305420194,1.52257062411574
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE+MULTIAGENT,1,298,2.2752013422818793,2.3812123755686683,1.5431177452056821
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE+MULTIAGENT,2,297,2.5252121212121215,2.593404086317723,1.610404944825283
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE+MULTIAGENT,3,297,2.488232323232323,2.734724905621875,1.6537003675460302
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE+MULTIAGENT,4,297,2.6633232323232323,2.8703142995612687,1.6942001946527065
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,基线,BASE+MULTIAGENT,5,294,2.653,2.926816326530612,1.7107940631562326
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,0,297,1.5962222222222222,1.7028491021324355,1.3049326044407181
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,1,296,1.7873986486486484,2.1061913748630388,1.4512723296690524
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,2,298,1.8154429530201341,2.055864193054367,1.4338285089418354
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,3,297,1.872060606060606,2.0846380165289258,1.4438275577536694
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,4,297,1.841939393939394,2.1059284205693296,1.4511817324406098
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,5,296,1.9056486486486486,1.8830724981738494,1.3722508874742436
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,0,293,1.5087133105802049,1.308363201085627,1.1438370518066054
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,1,298,1.5369194630872482,1.4565198324399802,1.2068636345668802
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,2,299,1.7424916387959866,1.9240363502645386,1.3870963738199804
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,3,299,1.8129130434782605,1.7037729824051187,1.3052865518364611
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,4,297,1.8113838383838383,1.9030817314559738,1.3795222837837646
multi,多智能体辩论场景,Qwen3系列4B,Qwen3-4B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,5,299,1.8128227424749164,1.8571634836299369,1.362777855569255
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE,0,300,2.1865,2.5453622499999997,1.59541914555392
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE,1,298,2.22493288590604,2.3956959686500605,1.5478035949855073
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE,2,297,2.3766969696969693,3.6492918273645554,1.9103119712142713
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE,3,299,2.3612441471571906,3.622403355107885,1.9032612419496924
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE,4,299,2.2910234113712376,3.4572864576458873,1.8593779760032352
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE,5,297,2.0036262626262626,2.9593183552698705,1.720266943026538
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT,0,299,2.1203578595317722,2.105883654545251,1.451166308368979
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT,1,299,2.050240802675585,2.1681332731177503,1.4724582415531349
