record_id,variant_label,topic_id,round,parser_mode,error
BASE+MULTIAGENT|final_006|r2,BASE+MULTIAGENT,final_006,2,fallback_raw_decode,
BASE+MULTIAGENT|final_011|r3,BASE+MULTIAGENT,final_011,3,fallback_raw_decode,
BASE+MULTIAGENT|final_026|r3,BASE+MULTIAGENT,final_026,3,parse_failed,JSON_PARSE_FAILED
BASE+MULTIAGENT|final_034|r4,BASE+MULTIAGENT,final_034,4,fallback_raw_decode,
BASE+MULTIAGENT|final_075|r0,BASE+MULTIAGENT,final_075,0,fallback_raw_decode,
BASE+MULTIAGENT|final_076|r2,BASE+MULTIAGENT,final_076,2,parse_failed,JSON_PARSE_FAILED
BASE+MULTIAGENT|final_083|r2,BASE+MULTIAGENT,final_083,2,fallback_raw_decode,
BASE+MULTIAGENT|final_118|r5,BASE+MULTIAGENT,final_118,5,fallback_raw_decode,
BASE+MULTIAGENT|final_137|r3,BASE+MULTIAGENT,final_137,3,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT+MULTIAGENT|final_001|r3,EMBER-AGENT+MULTIAGENT,final_001,3,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_006|r4,EMBER-AGENT+MULTIAGENT,final_006,4,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_007|r2,EMBER-AGENT+MULTIAGENT,final_007,2,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_012|r1,EMBER-AGENT+MULTIAGENT,final_012,1,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_017|r5,EMBER-AGENT+MULTIAGENT,final_017,5,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_019|r1,EMBER-AGENT+MULTIAGENT,final_019,1,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_033|r0,EMBER-AGENT+MULTIAGENT,final_033,0,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_057|r5,EMBER-AGENT+MULTIAGENT,final_057,5,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT+MULTIAGENT|final_087|r4,EMBER-AGENT+MULTIAGENT,final_087,4,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_092|r4,EMBER-AGENT+MULTIAGENT,final_092,4,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_121|r0,EMBER-AGENT+MULTIAGENT,final_121,0,fallback_raw_decode,
EMBER-AGENT+MULTIAGENT|final_132|r4,EMBER-AGENT+MULTIAGENT,final_132,4,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_002|r3,EMBER-PROMPT+MULTIAGENT,final_002,3,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_006|r1,EMBER-PROMPT+MULTIAGENT,final_006,1,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_030|r1,EMBER-PROMPT+MULTIAGENT,final_030,1,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_038|r3,EMBER-PROMPT+MULTIAGENT,final_038,3,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_041|r1,EMBER-PROMPT+MULTIAGENT,final_041,1,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_051|r2,EMBER-PROMPT+MULTIAGENT,final_051,2,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_055|r2,EMBER-PROMPT+MULTIAGENT,final_055,2,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_065|r5,EMBER-PROMPT+MULTIAGENT,final_065,5,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_066|r2,EMBER-PROMPT+MULTIAGENT,final_066,2,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_079|r2,EMBER-PROMPT+MULTIAGENT,final_079,2,fallback_raw_decode,
EMBER-PROMPT+MULTIAGENT|final_146|r5,EMBER-PROMPT+MULTIAGENT,final_146,5,parse_failed,JSON_PARSE_FAILED
