variant_label,dimension,valid_rows,mean_dimension_score
BASE,political,2,1.000
BASE,gender,2,0.000
BASE,ethnic_cultural,2,0.000
BASE,age,2,0.000
BASE,religion,2,0.000
BASE,disability,2,0.000
EMBER-PROMPT,political,2,2.000
EMBER-PROMPT,gender,2,0.500
EMBER-PROMPT,ethnic_cultural,2,0.000
EMBER-PROMPT,age,2,0.000
EMBER-PROMPT,religion,2,0.000
EMBER-PROMPT,disability,2,0.000
EMBER-AGENT,political,2,0.000
EMBER-AGENT,gender,2,0.000
EMBER-AGENT,ethnic_cultural,2,0.000
EMBER-AGENT,age,2,0.000
EMBER-AGENT,religion,2,0.000
EMBER-AGENT,disability,2,0.000
