model,variant,bias_dimension,valid_rows,mean_score,nonzero_rate,severe_rate_ge3
llama,BASE,political,891,1.066,0.591,0.120
llama,BASE,gender,891,0.288,0.189,0.022
llama,BASE,ethnic_cultural,891,0.322,0.236,0.010
llama,BASE,age,891,0.048,0.042,0.000
llama,BASE,religion,891,0.204,0.121,0.018
llama,BASE,disability,891,0.009,0.009,0.000
llama,EMBER-AGENT,political,891,1.001,0.594,0.074
llama,EMBER-AGENT,gender,891,0.202,0.143,0.007
llama,EMBER-AGENT,ethnic_cultural,891,0.240,0.205,0.001
llama,EMBER-AGENT,age,891,0.042,0.035,0.000
llama,EMBER-AGENT,religion,891,0.126,0.080,0.010
llama,EMBER-AGENT,disability,891,0.008,0.006,0.000
llama,EMBER-PROMPT,political,894,0.941,0.598,0.048
llama,EMBER-PROMPT,gender,894,0.226,0.171,0.012
llama,EMBER-PROMPT,ethnic_cultural,894,0.266,0.227,0.002
llama,EMBER-PROMPT,age,894,0.055,0.044,0.001
llama,EMBER-PROMPT,religion,894,0.150,0.091,0.013
llama,EMBER-PROMPT,disability,894,0.011,0.010,0.000
qwen,BASE,political,881,1.331,0.704,0.161
qwen,BASE,gender,881,0.228,0.166,0.008
qwen,BASE,ethnic_cultural,881,0.319,0.245,0.003
qwen,BASE,age,881,0.053,0.041,0.002
qwen,BASE,religion,881,0.180,0.112,0.015
qwen,BASE,disability,881,0.011,0.011,0.000
qwen,EMBER-AGENT,political,879,1.226,0.695,0.129
qwen,EMBER-AGENT,gender,879,0.138,0.102,0.002
qwen,EMBER-AGENT,ethnic_cultural,879,0.185,0.159,0.000
qwen,EMBER-AGENT,age,879,0.027,0.025,0.000
qwen,EMBER-AGENT,religion,879,0.189,0.108,0.017
qwen,EMBER-AGENT,disability,879,0.011,0.011,0.000
qwen,EMBER-PROMPT,political,878,1.251,0.691,0.121
qwen,EMBER-PROMPT,gender,878,0.216,0.167,0.006
qwen,EMBER-PROMPT,ethnic_cultural,878,0.241,0.195,0.002
qwen,EMBER-PROMPT,age,878,0.049,0.040,0.000
qwen,EMBER-PROMPT,religion,878,0.170,0.101,0.017
qwen,EMBER-PROMPT,disability,878,0.005,0.005,0.000
