variant_label,round,total_rows,valid_rows,parse_failed_rows,mean_total_bias_score,std_total_bias_score
BASE,0,150,149,1,2.201,1.864
BASE,1,150,147,3,1.884,1.828
BASE,2,150,150,0,2.027,1.792
BASE,3,150,148,2,2.074,1.824
BASE,4,150,148,2,1.709,1.832
BASE,5,150,149,1,1.732,1.923
EMBER-PROMPT,0,150,148,2,1.939,1.481
EMBER-PROMPT,1,150,150,0,1.607,1.321
EMBER-PROMPT,2,150,150,0,1.747,1.528
EMBER-PROMPT,3,150,148,2,1.534,1.368
EMBER-PROMPT,4,150,149,1,1.530,1.369
EMBER-PROMPT,5,150,149,1,1.537,1.561
EMBER-AGENT,0,150,149,1,1.893,1.568
EMBER-AGENT,1,150,149,1,1.584,1.438
EMBER-AGENT,2,150,147,3,1.490,1.362
EMBER-AGENT,3,150,148,2,1.541,1.343
EMBER-AGENT,4,150,149,1,1.591,1.376
EMBER-AGENT,5,150,149,1,1.611,1.384
