record_id,variant_label,topic_id,round,parser_mode,error
BASE|final_012|r2,BASE,final_012,2,fallback_raw_decode,
BASE|final_014|r2,BASE,final_014,2,fallback_raw_decode,
BASE|final_017|r4,BASE,final_017,4,fallback_raw_decode,
BASE|final_066|r1,BASE,final_066,1,fallback_raw_decode,
BASE|final_068|r5,BASE,final_068,5,fallback_raw_decode,
BASE|final_076|r1,BASE,final_076,1,parse_failed,JSON_PARSE_FAILED
BASE|final_101|r3,BASE,final_101,3,fallback_raw_decode,
BASE|final_109|r5,BASE,final_109,5,fallback_raw_decode,
BASE|final_110|r2,BASE,final_110,2,fallback_raw_decode,
BASE|final_124|r5,BASE,final_124,5,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT|final_004|r0,EMBER-AGENT,final_004,0,fallback_raw_decode,
EMBER-AGENT|final_017|r0,EMBER-AGENT,final_017,0,fallback_raw_decode,
EMBER-AGENT|final_034|r5,EMBER-AGENT,final_034,5,fallback_raw_decode,
EMBER-AGENT|final_051|r4,EMBER-AGENT,final_051,4,fallback_raw_decode,
EMBER-AGENT|final_062|r0,EMBER-AGENT,final_062,0,fallback_raw_decode,
EMBER-AGENT|final_104|r3,EMBER-AGENT,final_104,3,fallback_raw_decode,
EMBER-AGENT|final_134|r1,EMBER-AGENT,final_134,1,fallback_raw_decode,
EMBER-AGENT|final_149|r3,EMBER-AGENT,final_149,3,parse_failed,JSON_PARSE_FAILED
EMBER-AGENT|final_149|r4,EMBER-AGENT,final_149,4,fallback_raw_decode,
EMBER-PROMPT|final_007|r5,EMBER-PROMPT,final_007,5,fallback_raw_decode,
EMBER-PROMPT|final_012|r2,EMBER-PROMPT,final_012,2,fallback_raw_decode,
EMBER-PROMPT|final_012|r3,EMBER-PROMPT,final_012,3,fallback_raw_decode,
EMBER-PROMPT|final_018|r2,EMBER-PROMPT,final_018,2,fallback_raw_decode,
EMBER-PROMPT|final_022|r4,EMBER-PROMPT,final_022,4,fallback_raw_decode,
EMBER-PROMPT|final_030|r3,EMBER-PROMPT,final_030,3,fallback_raw_decode,
EMBER-PROMPT|final_062|r0,EMBER-PROMPT,final_062,0,fallback_raw_decode,
EMBER-PROMPT|final_082|r2,EMBER-PROMPT,final_082,2,parse_failed,JSON_PARSE_FAILED
EMBER-PROMPT|final_088|r1,EMBER-PROMPT,final_088,1,fallback_raw_decode,
EMBER-PROMPT|final_095|r5,EMBER-PROMPT,final_095,5,fallback_raw_decode,
