model,bias_dimension,round,BASE_mean,BASE_n,EMBER-PROMPT_mean,EMBER-PROMPT_n,EMBER-PROMPT_delta_vs_BASE,EMBER-AGENT_mean,EMBER-AGENT_n,EMBER-AGENT_delta_vs_BASE
qwen,political,0,0.932,148,1.041,147,0.108,1.000,145,0.068
qwen,political,1,1.075,147,1.068,146,-0.006,1.081,148,0.006
qwen,political,2,1.372,148,1.310,145,-0.061,1.295,146,-0.077
qwen,political,3,1.571,147,1.369,149,-0.202,1.320,147,-0.252
qwen,political,4,1.510,145,1.418,146,-0.093,1.418,146,-0.093
qwen,political,5,1.534,146,1.297,145,-0.238,1.245,147,-0.289
qwen,gender,0,0.101,148,0.095,147,-0.006,0.103,145,0.002
qwen,gender,1,0.177,147,0.185,146,0.008,0.122,148,-0.055
qwen,gender,2,0.291,148,0.269,145,-0.022,0.164,146,-0.126
qwen,gender,3,0.265,147,0.275,149,0.010,0.109,147,-0.156
qwen,gender,4,0.248,145,0.267,146,0.019,0.192,146,-0.056
qwen,gender,5,0.288,146,0.207,145,-0.081,0.136,147,-0.152
qwen,ethnic_cultural,0,0.122,148,0.122,147,0.001,0.159,145,0.037
qwen,ethnic_cultural,1,0.299,147,0.185,146,-0.114,0.169,148,-0.130
qwen,ethnic_cultural,2,0.358,148,0.352,145,-0.006,0.192,146,-0.166
qwen,ethnic_cultural,3,0.374,147,0.262,149,-0.112,0.204,147,-0.170
qwen,ethnic_cultural,4,0.345,145,0.288,146,-0.057,0.240,146,-0.105
qwen,ethnic_cultural,5,0.418,146,0.241,145,-0.176,0.150,147,-0.268
qwen,age,0,0.047,148,0.041,147,-0.006,0.069,145,0.022
qwen,age,1,0.048,147,0.034,146,-0.013,0.027,148,-0.021
qwen,age,2,0.081,148,0.041,145,-0.040,0.014,146,-0.067
qwen,age,3,0.041,147,0.074,149,0.033,0.027,147,-0.014
qwen,age,4,0.069,145,0.048,146,-0.021,0.014,146,-0.055
qwen,age,5,0.034,146,0.055,145,0.021,0.014,147,-0.021
qwen,religion,0,0.176,148,0.204,147,0.028,0.186,145,0.011
qwen,religion,1,0.190,147,0.158,146,-0.033,0.169,148,-0.022
qwen,religion,2,0.196,148,0.166,145,-0.030,0.240,146,0.044
qwen,religion,3,0.231,147,0.188,149,-0.043,0.177,147,-0.054
qwen,religion,4,0.145,145,0.144,146,-0.001,0.185,146,0.040
qwen,religion,5,0.144,146,0.159,145,0.015,0.177,147,0.033
qwen,disability,0,0.007,148,0.007,147,0.000,0.007,145,0.000
qwen,disability,1,0.000,147,0.000,146,0.000,0.014,148,0.014
qwen,disability,2,0.014,148,0.014,145,0.000,0.014,146,0.000
qwen,disability,3,0.020,147,0.007,149,-0.014,0.007,147,-0.014
qwen,disability,4,0.014,145,0.000,146,-0.014,0.027,146,0.014
qwen,disability,5,0.014,146,0.000,145,-0.014,0.000,147,-0.014
llama,political,0,1.221,149,1.115,148,-0.107,1.094,149,-0.128
llama,political,1,1.014,147,0.940,150,-0.074,0.899,149,-0.114
llama,political,2,1.033,150,0.927,150,-0.107,0.905,147,-0.129
llama,political,3,1.182,148,0.892,148,-0.291,0.980,148,-0.203
llama,political,4,0.973,148,0.919,149,-0.054,1.054,149,0.081
llama,political,5,0.973,149,0.852,149,-0.121,1.074,149,0.101
llama,gender,0,0.336,149,0.277,148,-0.059,0.248,149,-0.087
llama,gender,1,0.286,147,0.187,150,-0.099,0.181,149,-0.105
llama,gender,2,0.320,150,0.267,150,-0.053,0.197,147,-0.123
llama,gender,3,0.277,148,0.209,148,-0.068,0.203,148,-0.074
llama,gender,4,0.243,148,0.208,149,-0.035,0.168,149,-0.075
llama,gender,5,0.268,149,0.208,149,-0.060,0.215,149,-0.054
llama,ethnic_cultural,0,0.275,149,0.243,148,-0.032,0.242,149,-0.034
llama,ethnic_cultural,1,0.327,147,0.240,150,-0.087,0.309,149,-0.018
llama,ethnic_cultural,2,0.387,150,0.333,150,-0.053,0.238,147,-0.149
llama,ethnic_cultural,3,0.345,148,0.257,148,-0.088,0.203,148,-0.142
llama,ethnic_cultural,4,0.304,148,0.221,149,-0.083,0.255,149,-0.049
llama,ethnic_cultural,5,0.295,149,0.302,149,0.007,0.195,149,-0.101
llama,age,0,0.081,149,0.088,148,0.007,0.047,149,-0.034
llama,age,1,0.034,147,0.067,150,0.033,0.047,149,0.013
llama,age,2,0.053,150,0.067,150,0.013,0.014,147,-0.040
llama,age,3,0.020,148,0.041,148,0.020,0.061,148,0.041
llama,age,4,0.041,148,0.034,149,-0.007,0.040,149,-0.000
llama,age,5,0.060,149,0.034,149,-0.027,0.040,149,-0.020
llama,religion,0,0.282,149,0.209,148,-0.072,0.262,149,-0.020
llama,religion,1,0.218,147,0.160,150,-0.058,0.128,149,-0.090
llama,religion,2,0.220,150,0.147,150,-0.073,0.136,147,-0.084
llama,religion,3,0.236,148,0.108,148,-0.128,0.081,148,-0.155
llama,religion,4,0.149,148,0.141,149,-0.008,0.067,149,-0.082
llama,religion,5,0.121,149,0.134,149,0.013,0.081,149,-0.040
llama,disability,0,0.007,149,0.007,148,0.000,0.000,149,-0.007
llama,disability,1,0.007,147,0.013,150,0.007,0.020,149,0.013
llama,disability,2,0.013,150,0.007,150,-0.007,0.000,147,-0.013
llama,disability,3,0.014,148,0.027,148,0.014,0.014,148,0.000
llama,disability,4,0.000,148,0.007,149,0.007,0.007,149,0.007
llama,disability,5,0.013,149,0.007,149,-0.007,0.007,149,-0.007
