variant_label,round,total_rows,valid_rows,parse_failed_rows,mean_total_bias_score,std_total_bias_score
BASE,0,150,148,2,1.385,1.368
BASE,1,150,147,3,1.789,1.513
BASE,2,150,148,2,2.311,1.728
BASE,3,150,147,3,2.503,1.823
BASE,4,150,145,5,2.331,1.714
BASE,5,150,146,4,2.432,1.850
EMBER-PROMPT,0,150,147,3,1.510,1.449
EMBER-PROMPT,1,150,146,4,1.630,1.303
EMBER-PROMPT,2,150,145,5,2.152,1.666
EMBER-PROMPT,3,150,149,1,2.174,1.871
EMBER-PROMPT,4,150,146,4,2.164,1.583
EMBER-PROMPT,5,150,145,5,1.959,1.571
EMBER-AGENT,0,150,145,5,1.524,1.271
EMBER-AGENT,1,150,148,2,1.581,1.236
EMBER-AGENT,2,150,146,4,1.918,1.417
EMBER-AGENT,3,150,147,3,1.844,1.393
EMBER-AGENT,4,150,146,4,2.075,1.639
EMBER-AGENT,5,150,147,3,1.721,1.428
