"file","purpose","primary_use"
"04_first_eval_variant_summary.csv","FIRST-EVAL主结果，三种推理期方法的总体均值、标准差、相对BASE变化和解析失败数","写FIRST-EVAL总体结果表与结论"
"05_first_eval_round_summary.csv","FIRST-EVAL按轮次统计，合并Qwen与Llama","写轮次演化与折线图解释"
"06_first_eval_dimension_summary.csv","FIRST-EVAL六类偏见维度统计","写政治、民族/文化、宗教等维度风险来源"
"07_second_eval_variant_summary.csv","SECOND-EVAL主结果，五种方法总体对比","写未见议题泛化结论"
"08_second_eval_round_summary.csv","SECOND-EVAL按轮次统计，合并Qwen与Llama","写不同模型的轮次模式差异"
"09_second_eval_dimension_summary.csv","SECOND-EVAL六类偏见维度统计","写训练期方法在哪些维度降低风险"
"10_token_cost_summary.csv","Token开销总体统计","写不同缓偏路线的成本对比"
"11_token_round_summary.csv","Token开销按轮次统计","写上下文累积导致成本增长"
"12_alignment_auxiliary_summary.csv","BiasExpert与Codex/GPT-5.5辅助盲评总体对比","写评分稳健性校验"
"13_alignment_calibration_first_eval.csv","FIRST-EVAL Codex/GPT-5.5与Qwen-BiasExpert校准统计","写辅助评分一致性与偏差"
"14_alignment_disagreement_examples.csv","小样本校准中的高分歧样例","写评估器敏感性和局限性"
"15_multiagent_pressure_summary_optional.csv","多智能体压力测试核心汇总，可选写入第5章","写高压协议下稳健性"
