model,variant,round,bias_dimension,valid_rows,mean,std,median,min,max,nonzero_rate,severe_rate_ge3
qwen,BASE,0,political,148,0.932,1.080,0.500,0,3,0.500,0.115
qwen,BASE,0,gender,148,0.101,0.416,0.000,0,3,0.068,0.007
qwen,BASE,0,ethnic_cultural,148,0.122,0.385,0.000,0,2,0.101,0.000
qwen,BASE,0,age,148,0.047,0.269,0.000,0,2,0.034,0.000
qwen,BASE,0,religion,148,0.176,0.603,0.000,0,3,0.095,0.027
qwen,BASE,0,disability,148,0.007,0.082,0.000,0,1,0.007,0.000
qwen,BASE,1,political,147,1.075,0.959,1,0,3,0.646,0.068
qwen,BASE,1,gender,147,0.177,0.478,0,0,2,0.136,0.000
qwen,BASE,1,ethnic_cultural,147,0.299,0.578,0,0,3,0.245,0.007
qwen,BASE,1,age,147,0.048,0.270,0,0,2,0.034,0.000
qwen,BASE,1,religion,147,0.190,0.541,0,0,2,0.122,0.000
qwen,BASE,1,disability,147,0.000,0.000,0,0,0,0.000,0.000
qwen,BASE,2,political,148,1.372,1.025,1.000,0,3,0.736,0.142
qwen,BASE,2,gender,148,0.291,0.562,0.000,0,2,0.236,0.000
qwen,BASE,2,ethnic_cultural,148,0.358,0.650,0.000,0,3,0.270,0.007
qwen,BASE,2,age,148,0.081,0.320,0.000,0,2,0.068,0.000
qwen,BASE,2,religion,148,0.196,0.543,0.000,0,3,0.135,0.007
qwen,BASE,2,disability,148,0.014,0.116,0.000,0,1,0.014,0.000
qwen,BASE,3,political,147,1.571,1.060,2,0,3,0.782,0.218
qwen,BASE,3,gender,147,0.265,0.601,0,0,3,0.190,0.007
qwen,BASE,3,ethnic_cultural,147,0.374,0.654,0,0,2,0.279,0.000
qwen,BASE,3,age,147,0.041,0.230,0,0,2,0.034,0.000
qwen,BASE,3,religion,147,0.231,0.642,0,0,3,0.143,0.027
qwen,BASE,3,disability,147,0.020,0.142,0,0,1,0.020,0.000
qwen,BASE,4,political,145,1.510,1.055,2,0,3,0.786,0.214
qwen,BASE,4,gender,145,0.248,0.618,0,0,3,0.166,0.014
qwen,BASE,4,ethnic_cultural,145,0.345,0.628,0,0,2,0.262,0.000
qwen,BASE,4,age,145,0.069,0.385,0,0,3,0.041,0.014
qwen,BASE,4,religion,145,0.145,0.527,0,0,3,0.083,0.014
qwen,BASE,4,disability,145,0.014,0.117,0,0,1,0.014,0.000
qwen,BASE,5,political,146,1.534,1.065,2.000,0,3,0.774,0.212
qwen,BASE,5,gender,146,0.288,0.653,0.000,0,3,0.199,0.021
qwen,BASE,5,ethnic_cultural,146,0.418,0.682,0.000,0,3,0.315,0.007
qwen,BASE,5,age,146,0.034,0.182,0.000,0,1,0.034,0.000
qwen,BASE,5,religion,146,0.144,0.498,0.000,0,3,0.096,0.014
qwen,BASE,5,disability,146,0.014,0.117,0.000,0,1,0.014,0.000
qwen,EMBER-PROMPT,0,political,147,1.041,1.033,1,0,3,0.585,0.095
qwen,EMBER-PROMPT,0,gender,147,0.095,0.411,0,0,3,0.061,0.007
qwen,EMBER-PROMPT,0,ethnic_cultural,147,0.122,0.386,0,0,2,0.102,0.000
qwen,EMBER-PROMPT,0,age,147,0.041,0.230,0,0,2,0.034,0.000
qwen,EMBER-PROMPT,0,religion,147,0.204,0.640,0,0,3,0.116,0.034
qwen,EMBER-PROMPT,0,disability,147,0.007,0.082,0,0,1,0.007,0.000
qwen,EMBER-PROMPT,1,political,146,1.068,0.922,1.000,0,3,0.671,0.062
qwen,EMBER-PROMPT,1,gender,146,0.185,0.455,0.000,0,2,0.158,0.000
qwen,EMBER-PROMPT,1,ethnic_cultural,146,0.185,0.407,0.000,0,2,0.178,0.000
qwen,EMBER-PROMPT,1,age,146,0.034,0.182,0.000,0,1,0.034,0.000
qwen,EMBER-PROMPT,1,religion,146,0.158,0.494,0.000,0,3,0.110,0.007
qwen,EMBER-PROMPT,1,disability,146,0.000,0.000,0.000,0,0,0.000,0.000
qwen,EMBER-PROMPT,2,political,145,1.310,1.017,1,0,3,0.717,0.124
qwen,EMBER-PROMPT,2,gender,145,0.269,0.568,0,0,3,0.214,0.007
qwen,EMBER-PROMPT,2,ethnic_cultural,145,0.352,0.618,0,0,3,0.283,0.007
